name,address,tel,navi,link
あおい小児科,今治市東村5-9-37,0898-47-0033,"https://www.google.com/maps/dir/?api=1&destination=34.038256,133.0214225",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385513940&kikanKbn=2
丹こどもクリニック,今治市末広町3-4-12,0898-23-3200,"https://www.google.com/maps/dir/?api=1&destination=34.0616346,133.0052467",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385520430&kikanKbn=2
まつうらバンビクリニック,今治市北宝来町3-3-34,0898-22-0573,"https://www.google.com/maps/dir/?api=1&destination=34.0669145,132.9922638",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385522160&kikanKbn=2
みぶ小児科,今治市北宝来町3-1-27,0898-23-7525,"https://www.google.com/maps/dir/?api=1&destination=34.0658366,132.9928935",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385520720&kikanKbn=2
しのざき整形外科,今治市伯方町伊方甲1022-1,0897-73-1221,"https://www.google.com/maps/dir/?api=1&destination=34.2209377,133.0674465",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385512770&kikanKbn=2
はかた外科胃腸科,今治市伯方町叶浦甲1667-25,0897-72-1711,"https://www.google.com/maps/dir/?api=1&destination=34.2057821,133.0745082",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385517850&kikanKbn=2
喜多嶋診療所,今治市伯方町木浦甲3449,0897-72-0250,"https://www.google.com/maps/dir/?api=1&destination=34.203984,133.11282",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385509350&kikanKbn=2
斎藤クリニック,今治市吉海町仁江16-2,0897-84-4333,"https://www.google.com/maps/dir/?api=1&destination=34.1487981,133.0442599",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2388633291&kikanKbn=2
大三島中央病院,今治市大三島町宮浦5318-1,0897-82-1111,"https://www.google.com/maps/dir/?api=1&destination=34.2460837,132.9974115",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=1385503540&kikanKbn=1
片山医院,今治市吉海町幸新田71,0897-84-2620,"https://www.google.com/maps/dir/?api=1&destination=34.1468571,133.0423387",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2385508630&kikanKbn=2
有津むらかみクリニック,今治市伯方町有津甲2331,0897-72-3200,"https://www.google.com/maps/dir/?api=1&destination=34.2022441,133.0919751",https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?prefCd=38&kikanCd=2388633285&kikanKbn=2
